,Artist,Song Title,Lyrics,Year,word_count,end
505,Trey Songz,Can't Help But Wait, Intro I can not help but wait Oh I can not help but wait Check it out uh Verse 1 I see you you are with him he are not right but you do not trip You stand by while he lies then turn right round and forgive I can not take to see your face with those tears running down your cheeks But what can I do I going to stay true because deep down I am still a G PreChorus And I do not want to come between you and your man Even though I know I treat you better than he can Chorus Girl I can not help but wait notil you get that with him it do not change Ca not help but wait notil you see that with me it are not the same Ca not help but wait notil you see you for what you really are Baby girl you are a star and I can not help but wait Verse 2 It are not fresh to just let him call the shots You are a queen you should be getting all that someone is got You should be rocking the latest in purses bracelets and watches You are worth much more than an occasional I love you I am thinking of you PreChorus And I do not want to come between you and your man no Even though I know I treat you better than he can Chorus Girl I can not help but wait notil you get that with him it do not change Ca not help but wait notil you see that with me it are not the same Ca not help but wait notil you see you for what you really are Baby girl you are a star and I can not help but wait Bridge Get it together you can do better Seeing is believing and I see what you need so I am gon to play my position let you catch what you have been missing I am calling out girl because Chorus I can not help but wait notil you get that with him it do not change Ca not help but wait notil you see that with me it are not the same Ca not help but wait notil you see you for what you really are Baby girl you are a star and I can not help but wait Til you get that with him it do not change Ca not help but wait notil you see that with me it are not the same Ca not help but wait notil you see you for what you really are Baby girl you are a star and I can not help but wait Outro Ca not help but wait no no no no no no I can not help but wait oh Ca not help but wait no no no,2008.0,484,"
"
507,Mario,Crying Out For Me, Intro 1 2 3 4 Yeah uh huh Polo the Don Listen girl Mario Let is go Ladies Verse 1 It is like you caught up in a maze You keep on going in circles girl you are trying to find your way out But its time I put on my cape and Put that s on my chest Girl I want to come and save you Bridge 1 But I am stuck in the middle of seeing you hurt I know when you love him And you want to make it work And I can not help but think that I have known you first It is getting louder girl Ca not ignore it no more I can not Chorus I can hear your heart crying out for me crying out for me I can hear your heart crying out for me And it keeps on saying Come on in come on in come on in and save me And it keeps on saying Come on in come on in come on in and save me I can baby I can hear your heart crying out for me Verse 2 Baby I should have never caught no feelings But baby having late night conversion on your sofa You telling me how he played you out over and over Over and over Bridge 1 But I am stuck in the middle of seeing you hurt I know when you love him And you want to make it work And I can not help but think that I knew you first It is getting louder Girl I can not ignore it no more baby Chorus I can hear your heart crying out for me crying out for me I can hear your heart oh yeah crying out for me And girl it is saying Come on in come on in come on in and save me Save me Come on in come on in come on in and save me oh oh oh I can hear your heart I can hear it yeah crying out for me Girl it is crying it is crying Bridge 2 I do not want to confuse things no But I just can not keep lying to myself When you are holding me when you are holding me I can feel your pain oh baby let me be your dream I am the answer come see me see me And u do not have to cry no more u do not have to cry Girl I can hear your heart baby I can hear your heart Girl it is crying Wo not you listen to your heart baby Chorus I can hear your heart crying out for me girl it is crying out for me I can hear your heart crying out for me And it is saying Come on in come on in come on in and save me Save me Come on in come on in come on in and save me I can hear your heart crying out for me Outro Girl I can hear hear it crying for me for me for me for me Ladies wave your hands in the air Ladies wave your hands in the air Oh baby It is crying for me It is crying for me for me,2008.0,551,"
"
508,Chris Brown,Take You Down, Intro Yeah Dododo dododo Damn baby I want you Verse 1 Woah here we are all alone in this room oh And girl I know where to start and what we going to do yeah I will take my time we will be all night girl So get ready babe I got plans for me and you Woah woah ooh PreChorus It are not my first time but baby girl we can pretend Hey Let is bump and grind and girl tonight will never end Chorus Let me take you down I really want to take you down and show you what I am about Can I take you down Your body body oh oh your body body up and down So do not stop girl get it Quit playing with it can not wait no more I want to take you down I really want to take you down take you down yeah Verse 2 Pretty girl let is take it off in this room No time to waste girl you know what we came to do woahwoahwoah We got all night to try to get it right girl I hope you are ready hope you are ready hope you are ready I hope you are ready babe because here we go you know how we do oh PreChorus It are not my first time No but baby girl we can pretend Hey Let is bump and grind Come on and girl tonight will never end Ha Chorus Let me take you down I really want to take you down and show you what I am about I am about Can I take you down Oh yeah Your body body oh oh your body body up and down So do not stop girl get it Quit playing with it can not wait no more I can not wait no more I want to take you down I really want to take you down I really want to take you down yeah Bridge I want you ahahah Freaking oh baby like a pro baby And I bet that you I bet you woahwoah ahahah Think ya know baby like your grown baby So what you want to do I am going to take you down baby nice and slow So bring it let is go baby Woahwoahwoah huh Yeah yeah baby Woah Come on baby come on baby Come on baby let me take you down Chorus Let me take you down Oh I really want to take you down and show you what I am about Let me show you let me do it to you like I want to do Can I take you down Woah Your body body oh oh your body body up and down Yeah yeah yeah yeah Your body up your body body body up So do not stop girl get it Oh Quit playing with it Oh can not wait no more I can not wait no more I want to take you down I really want to take you down take you down yeah Outro Take you down Ha woah I said I want to take you down yeah yeah Let me take you down take you down Take you down All the way down all the way down Woah We can do some things going all the way down Take you down Take you down Ha woah ,2008.0,566,"
"
509,Lil Wayne,A Milli, Intro Bangladesh Young Money You dig Mack I am going in Verse 1 A millionaire I am a Young Money millionaire Tougher than Nigerian hair My criteria compared to your career just is not fair I am a venereal disease like a menstrual bleed Through the pencil and leak on the sheet of the tablet in my mind Cause I do not write shit cause I are not got time Cause my seconds minutes hours go to the almighty dollar And the almighty power of that chchachachopper Sister brother son daughter father motherfuck a copper Got the Maserati dancing on the bridge pussy popping Tell the coppers Hahahaha You can not catch him you can not stop him I go by them goon rules if you can not beat em then you pop em You can not man em then you mop em You can not stand em then you drop em You pop em cause we pop em like Orville Redenbacher Hook Motherfucker I am ill Verse 2 A million here a million there Sicilian bitch with long hair with coke in her derriere Like smoking the thinnest air I open the Lamborghini hoping them crackers see me Like Look at that bastard Weezy He is a beast he is a dog he is a mothafucking problem Okay you are a goon but what is a goon to a goblin Nothing nothingg you are not scaring nothingg On some faggot bullshit call em Dennis Rodman Call me what you want bitch Call me on my Sidekick Never answer when it is private damn I hate a shy bitch Do not you hate a shy bitch Yeah I ate a shy bitch She are not shy no more she changed her name to My Bitch Yeah nigga that is my bitch so when she ask For the money when you through do not be surprised bitch And it are not tricking if you got it But you like a bitch with no ass You are not got shit Motherfucker I am ill not sick And I am okay but my watch sick yeah my drop sick Yeah my Glock sick and my knot thick I am it Hook Motherfucker I am ill Verse 3 See they say I am rapping like BIG Jay and 2Pac Andr 300 where is Erykah Badu at Who that Who that said they gon beat Lil Wayne My name are not Bic but I keep that flame man Who that one that do that boy You knew that true that swallow And I be the shit now you got loose bowels I do not owe you like two vowels But I would like for you to pay me by the hour And I would rather be pushing flowers Than to be in the pen sharing showers Tony told us this world was ours And the Bible told us every girl was sour Do not play in her garden and do not smell her flower Call me Mr Carter or Mr Lawn Mower Boy I got so many bitches like I am Mike Lowrey Even Gwen Stefani said she could not doubt me Motherfucker I say Life are not shit without me Chrome lips poking out the coupe look like it is pouting I do what I do and you do what you can do about it Bitch I can turn a crack rock into a mountain dare me Do not you compare me cause there are not nobody near me They do not see me but they hear me They do not feel me but they fear me I am illy C3 3 Peat,2008.0,609,"
"
510,Usher Featuring Young Jeezy,Love In This Club,Gotta do it for the ladies And I going to keep it hood Where we at Polow hey I see you Ryan Yo Keith you was right But we just getting started Yeah man You say you are searching for somebody that will take you out and do you right Well come here baby and let daddy show you what it feel like You know all you got to do is tell me what you sipping on And I promise that I am going to keep it coming all night long Looking in your eyes while you on the other side And I am think that shawty I got a thing for you Doing it on purpose winding and working it I can tell by the way you looking at me girl I want to make love in this club hey In this club hey In this club hey In this club hey I want to make love in this club hey In this club hey In this club hey In this club hey You got some friends rolling with you baby then that is cool You can leave them with my homies let them know that I got you If you did not know you are the only thing that is on my mind Cause the way I am staring at you got me want to give it to you all night Looking in the eyes while you walk the other side I can not take it no more baby I am coming for you You keep doing it on purpose winding and working If we close our eyes it could just be me and you I want to make love in this club hey In this club hey In this club hey In this club hey I want to make love in this club hey In this club hey In this club hey In this club hey I want to make love in this club hey In this club hey In this club hey In this club hey I want to make love in this club hey In this club hey In this club hey In this club hey I am what you want I am what you need He got you trapped I will set you free Sexually mentally physically emotionally I will be like your medicine you will take every dose of me It is going down on aisle 3 I will bag you like some groceries And every time you think about it you gon want some more of me Bout to hit the club make a movie yeah rated R Pulled up like a trap star that is if you had your regular car You ever made love to a thug in the club with his ice on 87 Jeans and a fresh pair of Nikes on On the couch on the table on the bar or on the floor You can meet me in the bathroom yeah you know I am trained to go Might as well give me a kiss If we keep touching like this I know you are scared baby they do not know what we doing Let is both get undressed right here Keep it up girl and I swear I ama give it to you nonstop And I do not care who is watching Watching watching In this club on the floor Baby let is make love I want to make love in this club hey In this club hey In this club hey In this club hey I want to make love in this club hey In this club hey In this club hey In this club hey ,2008.0,611,"
"
511,Plies Featuring Ne-Yo,Bust It Baby Part 2, Intro Plies JJR Bust it baby Ay can I please talk to my bust it babies real quick homie Let me bring you in my world Plies NeYo And let you know what I call my little bust it baby Chorus NeYo and Plies She got me speedin in the fast lane pedal to the floor mayne Tryna get back to her love Best believe she got that good thing she my little hood thing Ask around they know us you will know that is my BUSST IIT My babay Everybody know that my BUSST IIT My babay Everybody know that is my Plies If I wah not married to the streets it would be you Yo lips what make you so cute Love when you poke yo mouth out when you mad too Save your number in my phone under Lil Boo Like your sex but more in love of whatcha do Turn me on how you stare at me when we through When you give it to me I do not want to turn ya loose Scared to moan round you so all I can say is ooh My favorite pannies of yours the ones that seethru One wit the pink trim on em and they light blue Speakin for the goons thank God for makin you BUST IT BABY is what I call you Chorus NeYo and Plies She got me speedin in the fast lane pedal to the floor mayne Tryna get back to her love Best believe she got that good thing she my little hood thing Ask around they know us you will know that is my BUSST IIT My babay Everybody know that my BUSST IIT My babay Everybody know that is my NeYo Yeah yeah yeah so now They say he is an entertainer slow down You are just one more he do not respect you He just gon hurt you and neglect you Well let em say what they want to yeah I made a promise yeah to do you right and I am going to hey Girl I will do everything I can prove I am a better man Than your friends think I am ohh Chorus NeYo and Plies She got me speedin in the fast lane pedal to the floor mayne Tryna get back to her love Best believe she got that good thing she my little hood thing Ask around they know us you will know that is my BUSST IIT My babay Everybody know that my BUSST IIT My babay Everybody know that is my Plies I jus gave her a nick name it is WetWet Cause when we finished she mess up all the bedsets She got sumthin to relax me when I am under stress Never told her or let her know it but she the best She like to spell her name wit her tongue on my chest If you woulda told me it was this good I woulda never guessed She full of surprises I do not know what she will do next But while she sleep I sneak and put hickies on her neck And when she go out she shut down the whole set Love to see her in heels wit the slit in her dress She like to do her own hair and get her own checks My BUST IT BABY I keep her on deck Chorus NeYo and Plies She got me speedin in the fast lane pedal to the floor mayne Tryna get back to her love Best believe she got that good thing she my little hood thing Ask around they know us you will know that is my BUSST IIT My babay Everybody know that my BUSST IIT My babay Everybody know that is my,2008.0,630,"
"
512,T.I.,Whatever You Like, Intro Aye Jim you know the ol sugar daddies They be tricking they tell them girls I said you could have whatever you like If you like I said you could have whatever you like If you like Yeah Yeah Chorus Stacks on deck Patron on ice And we can pop bottles all night And baby you could have whatever you like If you like I said you could have whatever you like yeah Late night sex so wet and so tight I gas up the jet for you tonight And baby you could go wherever you like If you like I said you could go wherever you like yeah Yeah Verse 1 Anytime you want to pick up the telephone you Know it are not nothingg to drop a couple stacks on you Want it you could get it my dear Five million dollar home drop Bentleys I swear yeah PreChorus I want yo body need yo body Long as you got me you will not need nobody You want it I got it go get it I will buy it Tell them other broke nigga be quiet Chorus Stacks on deck Patron on ice And we can pop bottles all night And baby you could have whatever you like If you like I said you could have whatever you like yeah Late night sex so wet and so tight I gas up the jet for you tonight And baby you could go wherever you like If you like I said you could go wherever you like yeah Yeah Verse 2 Shawty you the hottest love the way you drop it So good I swore you went to college Hundred karat deposit to vacations in the tropics Cause erybody know it are not tricking if you got it You need never ever going to go to yo wallet Long as I got rubberband banks in my pocket Five six rides with rims and a body kit You are not going to downgrade you can get what I get My chick could have what she want And go in any store for any bag she want And no she are not never had a man like that To buy you anything your heart desire like that yeah PreChorus I want yo body need yo body Long as you got me you will not need nobody You want it I got it go get it I will buy it Tell them other broke nigga be quiet Chorus Stacks on deck Patron on ice And we can pop bottles all night And baby you could have whatever you like If you like I said you could have whatever you like yeah Late night sex so wet and so tight I gas up the jet for you tonight And baby you could go wherever you like If you like I said you could go wherever you like yeah Yeah Bridge I am talking big boy rides and big boy ice Let me put this big boy in yo life You just be so fresh and look so nice Let me put this big boy in yo life that is right PreChorus I want yo body need yo body Long as you got me you will not need nobody You want it I got it go get it I will buy it Tell them other broke nigga be quiet Chorus Stacks on deck Patron on ice And we can pop bottles all night And baby you could have whatever you like If you like I said you could have whatever you like yeah Late night sex so wet and so tight I gas up the jet for you tonight And baby you could go wherever you like If you like I said you could go wherever you like yeah Yeah ,2008.0,636,"
"
513,The-Dream,I Luv Your Girl, Intro Mmm mm The American Dream mm mm And you know what I mean ahh baam baam Radio Killa ahh Trick beat the track up like gorillas I I I I Verse 1 Yeah we up in the club I see her do her thing You might want to rap but she will make you sing See I was on her but she was on him She all up on ma thing I got my thing on her hip She ATL pop do not know how to act She left for one song and came right back Grindin on me the rest of the night Her man started mugging he could see it in my eyes Chorus Lil mama so hood I love your girl Lil mama stay fly I love your girl Wife beater with the denim I love your girl She keeps them heels on high I love your girl Man look at shorty roll I love your girl Man look at shorty go I love your girl I am sorry I got it in for your girl girlfriend Bridge Now she run her Fingers through her hair he tryna call her over there but she like Fuck That nigga She drop it Down to the floor I am like shorty you should go but she like Fuck That nigga Call it envy I want her on me All up in my head now she in my bed I I I I I Verse 2 Me and little shorty in the back Talking bout dis diss talking boutthatthatGot her on the Tron she acting all bad Your girl chose me do not be mad Kelly told yall do not bring em in the club The way she rock that got the boy in love And I pray that yall are not serious Cause seriously she is on my dick Chorus Lil mama so hood I love your girl Lil mama stay fly I love your girl Wife beater with the denim I love your girl She keeps them heels on high I love your girl Man look at shorty roll I love your girl Man look at shorty go I love your girl I am sorry I got it in for your girl girlfriend Bridge Now she run her Fingers through her hair he tryna call her over there but she like Fuck That nigga She drop it Down to the floor I am like shorty you should go but she like Fuck That nigga Call it envy I want her on me All up in my head now she in my bed I I I I I OH II ehh ehh OH II The American Dream Usually you will not See me hate on another dude My heart got me up in here willing to Separate you from ya boo But she on me and I am on her We walking out the club shawty what is up Mmm I want her in the worst way plus I Just found out that it is her birthday Chorus Lil mama so hood I love your girl Lil mama stay fly I love your girl Wife beater with the denim I love your girl She keeps them heels on high I love your girl Man look at shorty roll I love your girl Man look at shorty go I love your girl I am sorry I got it in for your girl girlfriend Bridge Now she run her Fingers through her hair he tryna call her over there but she like Fuck That nigga She drop it Down to the floor I am like shorty you should go but she like Fuck That nigga Call it envy I want her on me All up in my head now she in my bed I I I I I Outro Part of me feels so bad but ooh Not that bad Situation got you mad I would be Too cause damn she bad damn she Bad bad Bad bad damn she Bad bad Bad bad Yeahh heh heh,2008.0,677,"
"
514,Webbie Featuring Lil' Phat & Lil' Boosie,Independent, Chorus Webbie and Lil Phat INDEPENDENT Do you know what that mean mayne INDEPENDENT Do you know what that mean She got her own house she got her own car Two jobs work hard you a bad broad If you are not on sit down if you are not on sit down If you are not on sit down if you are not on sit down Verse 1 Webbie INDEPENDENT Do you know what that mean Baby Phat just relax front your own flat screen Back rub cook clean and do not make her make a scene When you call her on her cellular she tell you she do not need Not a goddamn thing you a hot damn thing If you think you finna get her with a goddamn chain You insane boy you better get some goddamn change She a fool been to school even walked across the stage And she say I love Webbie from his looks to his ways The stilettos the J is depend on how the weather look Flip flop slippers just to show off the pedicure Flip flop niggas depend on how the cheddar look She will buy her own I do not think she will never look In a man face standin waitin for him to take care of her She will rather go to work and pay the bills on schedule Chorus Webbie and Lil Phat INDEPENDENT Do you know what that mean mayne INDEPENDENT Do you know what that mean She got her own house she got her own car Two jobs work hard you a bad broad If you are not on sit down if you are not on sit down If you are not on sit down if you are not on sit down Verse 2 Lil Phat She a dome dime diva gutta like Keisha Work that meter she a good freaker She stay on her shit she got her own shit She do not neva trip all she want is that dick She bouncy flossy keep them hoes off me Gutta little slang man I love when she talkin A independent chick do you know what that mean She cook she clean never smell like onion rings 22 is on her whip oh she do it large she do it large When she break a nigga off got a nigga spoiled She a bad little chick a fly little chick Hit me on my phone she like to buy that dick Got her stunna shades on lookin like something Stallion hair long she a nice something Like to go to the mall every day for a outfit Hair did nails did independent what she call it Chorus Webbie and Lil Phat INDEPENDENT Do you know what that mean mayne INDEPENDENT Do you know what that mean She got her own house she got her own car Two jobs work hard you a bad broad If you are not on sit down if you are not on sit down If you are not on sit down if you are not on sit down Verse 3 Lil Boosie Boosie Badazz She got her own house drive her own whip Range Rover all white like her toe tips She got a pretty smile smell real good Only time she need a man for that good joog They buy the bar too they superstars too They be like You are not got no money Take yo broke tail home In Baby Phat they on they clothes match they phone They be like Yeah when they song come on Leave the club kinda early cause they going to go to work I mess with supervisors who got credit like Big Turk So dusty feet please do not bother me I got independent dimes on my mind who spoil me Gucci hat Gucci fit so sick That is a gift from my independent chick yessir Tryna get next to her going to be ya self mayne Cause she got her own money she do not need no help mayne Boosie Chorus Webbie and Lil Phat INDEPENDENT Do you know what that mean mayne INDEPENDENT Do you know what that mean She got her own house she got her own car Two jobs work hard you a bad broad If you are not on sit down if you are not on sit down If you are not on sit down if you are not on sit down,2008.0,744,"
"
515,Alicia Keys,Teenage Love Affair, Verse 1 Uh can not wait to get home Baby dial your number Can you pick up the phone Cause I want to holla Daydreaming about you all day in school can not concentrate Wanna have your voice in my ear Til mama comes and says it is too late PreChorus Cause the lights are on outside Wish there was somewhere to hide Cause I just do not want to say goodbye Cause you are my baby baby Chorus Nothing really matters I do not really care What nobody tell me I am going to be here It is a matter of extreme importance My first teenage love affair Verse 2 Another secret meeting On the fifth floor stair case I am going to give you this letter Of all the things I can not say Want you to be my first my last my ending and beginning yeah I wrote your name in my book Your last name my first I am your Mrs PreChorus Cause the lights are on outside Wish there was somewhere to hide Cause I just do not want to say goodbye Cause you are my baby baby Chorus Nothing really matters I do not really care What nobody tell me I am going to be here It is a matter of extreme importance My first teenage love affair Interlude Hey boy You know I really like being with you right Just hanging out with you is fun Bridge So maybe we can go to first base Because I feel you Second base Want you to feel me too Third base Better pump the breaks Well baby slow down I going to go home now PreChorus Cause the lights are on outside Outside Wish there was somewhere to hide To hide Cause I just do not want to say goodbye Cause you are my baby baby Chorus Nothing really matters I do not really care What nobody tell me I am going to be here It is a matter of extreme importance My first teenage love affair My baby baby Nothing really matters I do not really care What nobody tell me I am going to be here It is a matter of extreme importance My first teenage love affair,2008.0,375,"
"
516,Mariah Carey,Touch My Body, Intro MC Uh uh uh you are the place to be Oh yeah oh yeah oh yeah oh yeah oh yeah Oh yeah oh yeah oh yeah oh yeah Verse 1 I know that you have been waiting for it I am waiting too In my imagination I would be all up on you I know you got that fever for me hundred and two And boy I know I feel the same My temperature is through the roof PreChorus If there is a camera up in here Then it is going to leave with me when I do I do If there is a camera up in here Then I would best not catch this flick on YouTube YouTube Cause if you run your mouth And brag about this secret rendezvous I will hunt you down Cause they be all up in my bidness like a Wendy interview But this is private between you and I Chorus Touch my body put me on the floor Wrestle me around play with me some more Touch my body throw me on the bed I just want to make you feel like you never did Touch my body let me wrap my thighs All around your waist just a little taste Touch my body know you love my curves Come on and give me what I deserve And touch my body Verse 2 Boy you can put me on you like a brand new white tee I will hug your body tighter than my favorite jeans I want you to caress me like a tropical breeze And float away with you in the Caribbean Sea PreChorus If there is a camera up in here Then it is going to leave with me when I do I do If there is a camera up in here Then I would best not catch this flick on YouTube YouTube Cause if you run your mouth And brag about this secret rendezvous I will hunt you down Cause they be all up in my bidness like a Wendy Interview But this is private between you and I Chorus Touch my body put me on the floor Wrestle me around play with me some more Touch my body throw me on the bed I just want to make you feel like you never did Touch my body let me wrap my thighs All around your waist just a little taste Touch my body know you love my curves Come on and give me what I deserve And touch my body Bridge I am going to treat you like a teddy bear You will not want to go nowhere In the lap of luxury Laying intertwined with me You will not want for nothinggg boy no I will give you plenty joy oh touch my body Chorus Touch my body put me on the floor throw me on the floor Wrestle me around play with me some more Touch my body throw me on the bed ooh touch my body I just want to make you feel like you never did Touch my body let me wrap my thighs let me wrap my thighs All around your waist just a little taste around your waist for just a little taste Touch my body know you love my curves I know you like it Come on and give me what I deserve give me what I deserve babe And touch my body Outro Oh yeah oh yeah oh yeah oh yeah yeah yeah Oh yeah oh oh oh oh every little way you like to touch my body baby Touch my body Oh yeah oh yeah oh yeah oh yeah Oh yeah oh oh oh oh Just touch my body Yeah ooh ooh baby Oh ooh ooh Touch my body Uh ooh ooh ooh Come on and give me what I deserve Touch my body Oh Ooh ooh ooh Touch my body,2008.0,653,"
"
517,Young Jeezy Featuring Kanye West,Put On, Intro Young Jeezy I put on I put on I put on I put on for my city onon for my city I put on for my city onon for my city I put on for my city onon for my city I put on for my city onon for my city Verse 1 Young Jeezy When they see me off in traffic they say Jeezy on some other shit Send them pussy niggas running straight back to the dealership Me I am in my spaceship that is right I work for NASA This FNH is not a fraud call that bitch my bodyguard Call that bitch your bodyguard Yeah that is my bodyguard Wear a lot of jewelry Young do not do security What is whiter than a napkin harder than a dinner plate If you want it come and get it you know I stay super straight Ran up in my spots and now I am working out the Super 8 Know you niggas hungry come and get a super plate Yall sing happy birthday yeah I got that super cake Hundred karat bracelet I use it like some super bait Hook Young Jeezy I put on for my city onon for my city I put on for my city onon for my city Put on Eastside put on Southside Put on Westside put on let is go I put on for my city onon for my city I put on for my city onon for my city Put on Eastside put on Southside Put on Westside put on let is go Verse 2 Young Jeezy Hat back top back are not nothingg but a young thug HKs AK is I need to join a gun club Big wheels big straps you know I like it supersized Passenger is a redbone her weave look like some curly fries Inside fish sticks outside tartar sauce Pocket full of celery imagine what she telling me Blowing on asparagus the realest shit I ever smoked Riding to that Trap or Die the realest shit I ever wrote They know I got that broccoli so I keep that Glock on me Do not get caught without one coming from where I am from Call me Jeezy Hamilton flying down Campbellton So fresh so clean on my way to Charlene Hook Young Jeezy I put on for my city onon for my city I put on for my city onon for my city Put on Eastside put on Southside Put on Westside put on let is go I put on for my city onon for my city I put on for my city onon for my city Put on Eastside put on Southside Put on Westside put on let is go Bridge Kanye West I put on I put on I put on I put on for my city I put on for my I put on for my city I put on for my city On Verse 3 Kanye West I feel like it is still niggas that owe me checks I feel like it is still bitches that owe me sex I feel like this but niggas do not know he is stressed I lost the only girl in the world that know me best I got the money and the fame man that do not mean shit I got the Jesus on a chain man that do not mean shit Cause when the Jesus pieces can not bring me peace Yo I need just at least uh one of Russell is nieces On I let my nightmares go I put on everybody that I knew from the Go I know hoes that was fronting when they knew he was broke They say Damn Yeezy Yeezy you do not know us no more You got that big fame homie and you just changed on me You can ask big homie man the top so lonely I are not lyin So lonely I are not lyin Let me see what we have tonight what we have tonight I am high as a satellite satellite I see those flashing lights flashing lights Cause every night every night I put on Hook Young Jeezy I put on for my city onon for my city I put on for my city onon for my city Put on Eastside put on Southside Put on Westside put on let is go I put on for my city onon for my city I put on for my city onon for my city Put on Eastside put on Southside Put on Westside put on let is go Outro Kanye West Let me see what we have tonight I am high as a satellite I see those flashing lights Cause every night every night Let me see what we have tonight I am high as a satellite I see those flashing lights,2008.0,812,"
"
518,Raheem DeVaughn,Woman,This is official right now in 4 minutes or less We going to crown all of them right now My momma your momma Baby is mommas mommas mommas Wife If you near a woman right now wherever you are at just turn to em and say you are appreciated I appreciate your smile thank you I know how much it take to carry and birth a child thank you And the way you play dumb even when we living real foul oo thank ya And even as a single parent momma you still hold it down some how thank you momma making Ends meet somehow thank you momma I appreciate your strength thank you How you never bite your lip to say what is on your mind thank you How you a lady in the streets and a freak when it is bedroom time thank you How you gon ride with me roll with me and tell me what is yours is mine Fellas If you are not got one better search the world to find Woman woman woman Strong Woman woman woman Grown Woman woman woman Special Woman woman woman Beautiful Woman woman woman Strong Woman woman woman Grown Woman woman woman Special Woman woman woman I appreciate your glow Thank you And when you get angry with us the way that you let us know thank you And i think it is so cute when you get so emotional thank you You know till you prove your point you just can not let it go ha ha But i like that though I appreciate so much thank you girl Like the I love you feeling girl when we touch thank you girl Like there is no you no me if there is no us thank ya And if she ever hears an urgency she will come in a rush thank you To the rescue man you better find you a Woman woman woman Get you one man Strong Woman woman woman Ai not nothinggg like making love Grown Woman woman woman Special Woman woman woman Beautiful Woman woman woman Strong Woman woman woman when i get weak i need a strong woman Grown Woman woman woman Special Woman woman woman She is going to be street smart and educated Gotta good head on her shoulders A sexy swagger with sex appeal A grown woman hook up them home cook meals A grown woman who is confident Better recognize one where the grown ones sit And a grown woman knows how to tell you no A grown woman knows when to let you go You can have a big ol car and big ol house but next to God nothinggg else amounts to a Woman woman woman Strong Woman woman woman Grown Woman woman woman Special Woman woman woman Beautiful Woman woman woman Strong Woman woman woman Grown Woman woman woman Special Woman woman woman Ai not nothinggg like a Woman woman woman Strong Woman woman woman Grown Woman woman woman Special Woman woman woman Beautiful Woman woman woman Strong Woman woman woman Grown Woman woman woman Special Woman woman woman,2008.0,522,"
"
519,Snoop Dogg,Sensual Seduction, Bridge I am going to take my time She gon get hers before I I am going to take it slow I am not going to rush the stroke Chorus So she can get a sensual seduction So I can get a sensual seduction So we can get a sensual seduction Sensual seduction whoa whoa Verse 1 She might be with him but she is thinking bout me me me We do not go to the mall we do not go out to eat eat eat All that we ever do is play in the sheets sheets sheets Smoke us a cigarette then go back to sleep sleep sleep Cause we done got a Chorus Sensual seduction Sensual seduction whoa whoa Sensual seduction Sensual seduction whoa Bridge I am going to take my time She gon get hers before I I am going to take it slow I am not going to rush the stroke Verse 2 If ya do not know by now Doggy Dogg is a freak freak freak I keep a bad bitch with me seven days out the week week week And all that we ever do is play in the sheets sheets sheets Then smoke us a cigarette and go back to sleep sleep sleep Cause we done got a Chorus Sensual seduction Sensual seduction whoa whoa Sensual seduction Sensual seduction whoa Verse 3 I was all in da club having a drink blowing on a sweet When I peeped this little freak out I was all in the bar wind drift up Shawty Redd came on Then she hit the floor now With a see through dress long hair light brown eyes Looking like Miss Bo Peep And a playa know if I take her home with them real big hips You so right I am gon beat So I approached the chick with the real pretty face Nice curves on her with a little bitty waist I whispered in her ear Lil mama what you drink I know that you are a freak but you know that I are not gon say sh it See my game is outrageous I got her to the crib and exchanged some love faces But it was no need for me to rush to bust one Cause I wanted her to have an eruption Chorus Sensual seduction Sensual seduction whoa Sensual seduction Sensual seduction whoa whoa Outro Sexual eruption All the time anytime Sexual eruption,2008.0,408,"
"
